|F| is smaller than |a|	smaller(f,a)
Both |d| and |c| are the same size	samesize(d,c)
Both |d| and |c| are the same size	samesize(d,c)
|D| is the same size as |c|	samesize(d,c)
|D| and |c| are the same size	samesize(d,c)
|D| and |c| both are the same size	samesize(d,c)
|D| and |c| are both the same size	samesize(d,c)
|A| is large	large(a)
|C| is a cube	cube(c)
|E| and |d| are both the same shape	sameshape(e,d)
Both |e| and |d| are the same shape	sameshape(e,d)
Both |e| and |d| are the same shape	sameshape(e,d)
|E| and |d| are the same shape	sameshape(e,d)
|E| is the same shape as |d|	sameshape(e,d)
|E| and |d| both are the same shape	sameshape(e,d)
|C| is smaller than x	smaller(c,x)
|F| and x both are in the same row	samerow(f,x)
|F| and X. are both in the same row	samerow(f,x)
|F| and x are in the same row	samerow(f,x)
|F| and X. are in the same row	samerow(f,x)
Both |f| and x are in the same row	samerow(f,x)
Both |f| and X. are in the same row	samerow(f,x)
|F| and x are both in the same row	samerow(f,x)
|F| and X. both are in the same row	samerow(f,x)
Both |f| and x are in the same row	samerow(f,x)
Both |f| and X. are in the same row	samerow(f,x)
|F| is in the same row as x	samerow(f,x)
|C| adjoins |f|	adjoins(c,f)
X is a tetrahedron	tet(x)
X. is a tetrahedron	tet(x)
|A| adjoins |e|	adjoins(a,e)
Y. and x are in the same row	samerow(y,x)
Both Y. and X. are in the same row	samerow(y,x)
Y. is in the same row as x	samerow(y,x)
Y. and X. are in the same row	samerow(y,x)
Both y and x are in the same row	samerow(y,x)
Y. and x are both in the same row	samerow(y,x)
Both y and X. are in the same row	samerow(y,x)
Y and X. are in the same row	samerow(y,x)
Y. and X. are both in the same row	samerow(y,x)
Y. and X. both are in the same row	samerow(y,x)
Y and x are in the same row	samerow(y,x)
Both y and x are in the same row	samerow(y,x)
Y and X. both are in the same row	samerow(y,x)
Y and X. are both in the same row	samerow(y,x)
Both Y. and x are in the same row	samerow(y,x)
Both Y. and x are in the same row	samerow(y,x)
Y	samerow(y,x)
Y. and x both are in the same row	samerow(y,x)
Both Y. and X. are in the same row	samerow(y,x)
Y is in the same row as x	samerow(y,x)
Both y and X. are in the same row	samerow(y,x)
Y and x both are in the same row	samerow(y,x)
Y and x are both in the same row	samerow(y,x)
X and X. are both the same size	samesize(x,x)
X. and X. are the same size	samesize(x,x)
Both x and x are the same size	samesize(x,x)
X and x both are the same size	samesize(x,x)
Both X. and X. are the same size	samesize(x,x)
Both x and x are the same size	samesize(x,x)
X is the same size as x	samesize(x,x)
Both X. and X. are the same size	samesize(x,x)
X and X. both are the same size	samesize(x,x)
Both X. and x are the same size	samesize(x,x)
Both x and X. are the same size	samesize(x,x)
X and x are the same size	samesize(x,x)
X	samesize(x,x)
X and X. are the same size	samesize(x,x)
X. and x both are the same size	samesize(x,x)
X. is the same size as x	samesize(x,x)
X. and x are the same size	samesize(x,x)
Both X. and x are the same size	samesize(x,x)
X. and x are both the same size	samesize(x,x)
X and x are both the same size	samesize(x,x)
Both x and X. are the same size	samesize(x,x)
X. and X. both are the same size	samesize(x,x)
X. and X. are both the same size	samesize(x,x)
Both |b| and z are the same shape	sameshape(b,z)
|B| and Z. both are the same shape	sameshape(b,z)
Both |b| and z are the same shape	sameshape(b,z)
|B| and Z. are the same shape	sameshape(b,z)
|B| and z are both the same shape	sameshape(b,z)
Both |b| and Z. are the same shape	sameshape(b,z)
|B| and z both are the same shape	sameshape(b,z)
|B| and Z. are both the same shape	sameshape(b,z)
|B| and z are the same shape	sameshape(b,z)
Both |b| and Z. are the same shape	sameshape(b,z)
|E| and |d| both are the same size	samesize(e,d)
|E| and |d| are the same size	samesize(e,d)
Both |e| and |d| are the same size	samesize(e,d)
|E| and |d| are both the same size	samesize(e,d)
Both |e| and |d| are the same size	samesize(e,d)
|E| is the same size as |d|	samesize(e,d)
Y is smaller than x	smaller(y,x)
Y	smaller(y,x)
Y. is smaller than x	smaller(y,x)
Y. likes x	likes(y,x)
Y likes x	likes(y,x)
Both x and |a| are the same size	samesize(x,a)
X. and |a| are the same size	samesize(x,a)
X and |a| are both the same size	samesize(x,a)
Both x and |a| are the same size	samesize(x,a)
X. and |a| both are the same size	samesize(x,a)
X and |a| both are the same size	samesize(x,a)
Both X. and |a| are the same size	samesize(x,a)
X and |a| are the same size	samesize(x,a)
X. and |a| are both the same size	samesize(x,a)
X is the same size as |a|	samesize(x,a)
Both X. and |a| are the same size	samesize(x,a)
X. is the same size as |a|	samesize(x,a)
|C| is in front of y	frontof(c,y)
X is large	large(x)
X. is large	large(x)
|F| adjoins |d|	adjoins(f,d)
|F| is to the left of |f|	leftof(f,f)
Both |b| and |a| are the same shape	sameshape(b,a)
|B| and |a| both are the same shape	sameshape(b,a)
|B| and |a| are both the same shape	sameshape(b,a)
|B| is the same shape as |a|	sameshape(b,a)
|B| and |a| are the same shape	sameshape(b,a)
Both |b| and |a| are the same shape	sameshape(b,a)
Y is to the left of |c|	leftof(y,c)
Y. is to the left of |c|	leftof(y,c)
|D| is to the left of y	leftof(d,y)
|B| and |d| are both in the same column	samecol(b,d)
|B| is in the same column as |d|	samecol(b,d)
|B| and |d| are in the same column	samecol(b,d)
Both |b| and |d| are in the same column	samecol(b,d)
Both |b| and |d| are in the same column	samecol(b,d)
|B| and |d| both are in the same column	samecol(b,d)
|D| is in back of |d|	backof(d,d)
Z is a cube	cube(z)
Z. is a cube	cube(z)
Both |d| and Y. are in the same column	samecol(d,y)
|D| and Y. are in the same column	samecol(d,y)
Both |d| and Y. are in the same column	samecol(d,y)
|D| and y are both in the same column	samecol(d,y)
Both |d| and y are in the same column	samecol(d,y)
|D| and y both are in the same column	samecol(d,y)
|D| and y are in the same column	samecol(d,y)
|D| and Y. both are in the same column	samecol(d,y)
|D| is in the same column as y	samecol(d,y)
Both |d| and y are in the same column	samecol(d,y)
|D| and Y. are both in the same column	samecol(d,y)
Y is in back of x	backof(y,x)
Y. is in back of x	backof(y,x)
|A| is smaller than |c|	smaller(a,c)
Z is larger than |a|	larger(z,a)
Z. is larger than |a|	larger(z,a)
Y is in front of |c|	frontof(y,c)
Y. is in front of |c|	frontof(y,c)
|A| likes |b|	likes(a,b)
|D| is to the right of |f|	rightof(d,f)
X. and |d| are both in the same column	samecol(x,d)
X and |d| are both in the same column	samecol(x,d)
X. is in the same column as |d|	samecol(x,d)
Both x and |d| are in the same column	samecol(x,d)
X. and |d| both are in the same column	samecol(x,d)
X is in the same column as |d|	samecol(x,d)
Both X. and |d| are in the same column	samecol(x,d)
X. and |d| are in the same column	samecol(x,d)
Both X. and |d| are in the same column	samecol(x,d)
Both x and |d| are in the same column	samecol(x,d)
X and |d| are in the same column	samecol(x,d)
X and |d| both are in the same column	samecol(x,d)
|A| and |c| are the same shape	sameshape(a,c)
Both |a| and |c| are the same shape	sameshape(a,c)
Both |a| and |c| are the same shape	sameshape(a,c)
|A| and |c| both are the same shape	sameshape(a,c)
|A| and |c| are both the same shape	sameshape(a,c)
|A| is the same shape as |c|	sameshape(a,c)
|A| is happy	happy(a)
Y. is in front of |d|	frontof(y,d)
Y is in front of |d|	frontof(y,d)
X. likes |e|	likes(x,e)
X likes |e|	likes(x,e)
|A| is in the same column as |c|	samecol(a,c)
Both |a| and |c| are in the same column	samecol(a,c)
|A| and |c| are in the same column	samecol(a,c)
|A| and |c| both are in the same column	samecol(a,c)
Both |a| and |c| are in the same column	samecol(a,c)
|A| and |c| are both in the same column	samecol(a,c)
Y is to the right of x	rightof(y,x)
Y. is to the right of x	rightof(y,x)
Z. is in back of |d|	backof(z,d)
Z is in back of |d|	backof(z,d)
Z and z both are in the same row	samerow(z,z)
Z. and Z. are in the same row	samerow(z,z)
Z. and Z. both are in the same row	samerow(z,z)
Both Z. and Z. are in the same row	samerow(z,z)
Both Z. and z are in the same row	samerow(z,z)
Z and z are both in the same row	samerow(z,z)
Both Z. and z are in the same row	samerow(z,z)
Both z and z are in the same row	samerow(z,z)
Both z and Z. are in the same row	samerow(z,z)
Both z and Z. are in the same row	samerow(z,z)
Z and Z. are both in the same row	samerow(z,z)
Both Z. and Z. are in the same row	samerow(z,z)
Z. and z are both in the same row	samerow(z,z)
Z and Z. both are in the same row	samerow(z,z)
Both z and z are in the same row	samerow(z,z)
Z and Z. are in the same row	samerow(z,z)
Z and z are in the same row	samerow(z,z)
Z. and Z. are both in the same row	samerow(z,z)
Z. and z are in the same row	samerow(z,z)
Z. and z both are in the same row	samerow(z,z)
Y. likes |f|	likes(y,f)
Y likes |f|	likes(y,f)
|F| is in back of |b|	backof(f,b)
|E| is to the right of |a|	rightof(e,a)
Both |e| and |a| are in the same column	samecol(e,a)
Both |e| and |a| are in the same column	samecol(e,a)
|E| and |a| both are in the same column	samecol(e,a)
|E| and |a| are both in the same column	samecol(e,a)
|E| is in the same column as |a|	samecol(e,a)
|E| and |a| are in the same column	samecol(e,a)
Y. is larger than |a|	larger(y,a)
Y is larger than |a|	larger(y,a)
|C| is larger than |c|	larger(c,c)
|C| and |e| are the same shape	sameshape(c,e)
|C| and |e| are both the same shape	sameshape(c,e)
|C| is the same shape as |e|	sameshape(c,e)
|C| and |e| both are the same shape	sameshape(c,e)
Both |c| and |e| are the same shape	sameshape(c,e)
Both |c| and |e| are the same shape	sameshape(c,e)
|C| is in the same row as |a|	samerow(c,a)
Both |c| and |a| are in the same row	samerow(c,a)
|C| and |a| both are in the same row	samerow(c,a)
Both |c| and |a| are in the same row	samerow(c,a)
|C| and |a| are in the same row	samerow(c,a)
|C| and |a| are both in the same row	samerow(c,a)
|F| adjoins |b|	adjoins(f,b)
|F| is the same shape as |b|	sameshape(f,b)
|F| and |b| both are the same shape	sameshape(f,b)
Both |f| and |b| are the same shape	sameshape(f,b)
|F| and |b| are the same shape	sameshape(f,b)
Both |f| and |b| are the same shape	sameshape(f,b)
|F| and |b| are both the same shape	sameshape(f,b)
|F| is larger than |f|	larger(f,f)
Z. is larger than |b|	larger(z,b)
Z is larger than |b|	larger(z,b)
|F| is to the right of |a|	rightof(f,a)
Y. is small	small(y)
Y is small	small(y)
|A| and |d| are the same shape	sameshape(a,d)
Both |a| and |d| are the same shape	sameshape(a,d)
|A| and |d| both are the same shape	sameshape(a,d)
Both |a| and |d| are the same shape	sameshape(a,d)
|A| is the same shape as |d|	sameshape(a,d)
|A| and |d| are both the same shape	sameshape(a,d)
X. is the same shape as |f|	sameshape(x,f)
Both X. and |f| are the same shape	sameshape(x,f)
X and |f| are both the same shape	sameshape(x,f)
X. and |f| both are the same shape	sameshape(x,f)
X and |f| both are the same shape	sameshape(x,f)
Both x and |f| are the same shape	sameshape(x,f)
X. and |f| are the same shape	sameshape(x,f)
Both x and |f| are the same shape	sameshape(x,f)
X and |f| are the same shape	sameshape(x,f)
X is the same shape as |f|	sameshape(x,f)
X. and |f| are both the same shape	sameshape(x,f)
Both X. and |f| are the same shape	sameshape(x,f)
|C| is smaller than |e|	smaller(c,e)
|F| and y are both in the same row	samerow(f,y)
Both |f| and y are in the same row	samerow(f,y)
Both |f| and Y. are in the same row	samerow(f,y)
|F| and Y. are both in the same row	samerow(f,y)
|F| and y both are in the same row	samerow(f,y)
Both |f| and y are in the same row	samerow(f,y)
|F| and y are in the same row	samerow(f,y)
Both |f| and Y. are in the same row	samerow(f,y)
|F| and Y. both are in the same row	samerow(f,y)
|F| is in the same row as y	samerow(f,y)
|F| and Y. are in the same row	samerow(f,y)
Z. and |f| are both the same size	samesize(z,f)
Z is the same size as |f|	samesize(z,f)
Both z and |f| are the same size	samesize(z,f)
Both Z. and |f| are the same size	samesize(z,f)
Z and |f| are both the same size	samesize(z,f)
Z and |f| are the same size	samesize(z,f)
Both Z. and |f| are the same size	samesize(z,f)
Both z and |f| are the same size	samesize(z,f)
Z. and |f| are the same size	samesize(z,f)
Z. is the same size as |f|	samesize(z,f)
Z and |f| both are the same size	samesize(z,f)
Z. and |f| both are the same size	samesize(z,f)
|B| and Z. both are in the same column	samecol(b,z)
Both |b| and z are in the same column	samecol(b,z)
|B| and Z. are both in the same column	samecol(b,z)
|B| and z both are in the same column	samecol(b,z)
Both |b| and Z. are in the same column	samecol(b,z)
|B| and Z. are in the same column	samecol(b,z)
|B| and z are both in the same column	samecol(b,z)
|B| and z are in the same column	samecol(b,z)
Both |b| and z are in the same column	samecol(b,z)
Both |b| and Z. are in the same column	samecol(b,z)
X adjoins |f|	adjoins(x,f)
X. adjoins |f|	adjoins(x,f)
|C| is to the right of y	rightof(c,y)
|A| is in front of |f|	frontof(a,f)
|C| and Z. both are the same shape	sameshape(c,z)
Both |c| and Z. are the same shape	sameshape(c,z)
Both |c| and Z. are the same shape	sameshape(c,z)
|C| and z are the same shape	sameshape(c,z)
|C| and z both are the same shape	sameshape(c,z)
Both |c| and z are the same shape	sameshape(c,z)
Both |c| and z are the same shape	sameshape(c,z)
|C| and Z. are both the same shape	sameshape(c,z)
|C| and z are both the same shape	sameshape(c,z)
|C| and Z. are the same shape	sameshape(c,z)
|F| is in front of x	frontof(f,x)
Y is smaller than |c|	smaller(y,c)
Y. is smaller than |c|	smaller(y,c)
|E| is in front of |a|	frontof(e,a)
|E| is to the left of |f|	leftof(e,f)
Z. and x both are in the same column	samecol(z,x)
Both z and X. are in the same column	samecol(z,x)
Both z and X. are in the same column	samecol(z,x)
Both Z. and X. are in the same column	samecol(z,x)
Both Z. and x are in the same column	samecol(z,x)
Z. and X. are in the same column	samecol(z,x)
Z. and X. both are in the same column	samecol(z,x)
Z and x both are in the same column	samecol(z,x)
Z and X. are both in the same column	samecol(z,x)
Z. and x are in the same column	samecol(z,x)
Z is in the same column as x	samecol(z,x)
Z	samecol(z,x)
Z and x are in the same column	samecol(z,x)
Z and x are both in the same column	samecol(z,x)
Both z and x are in the same column	samecol(z,x)
Z. is in the same column as x	samecol(z,x)
Z and X. are in the same column	samecol(z,x)
Z. and x are both in the same column	samecol(z,x)
Both z and x are in the same column	samecol(z,x)
Both Z. and X. are in the same column	samecol(z,x)
Z. and X. are both in the same column	samecol(z,x)
Both Z. and x are in the same column	samecol(z,x)
Z and X. both are in the same column	samecol(z,x)
Z is in the same column as |c|	samecol(z,c)
Z. and |c| both are in the same column	samecol(z,c)
Z. and |c| are in the same column	samecol(z,c)
Both Z. and |c| are in the same column	samecol(z,c)
Both z and |c| are in the same column	samecol(z,c)
Z and |c| are in the same column	samecol(z,c)
Z. and |c| are both in the same column	samecol(z,c)
Z and |c| both are in the same column	samecol(z,c)
Z. is in the same column as |c|	samecol(z,c)
Z and |c| are both in the same column	samecol(z,c)
Both Z. and |c| are in the same column	samecol(z,c)
Both z and |c| are in the same column	samecol(z,c)
|F| is in front of |b|	frontof(f,b)
|F| is smaller than |f|	smaller(f,f)
|B| is in back of |b|	backof(b,b)
|C| is larger than y	larger(c,y)
|C| and Y. are in the same column	samecol(c,y)
Both |c| and Y. are in the same column	samecol(c,y)
|C| and Y. both are in the same column	samecol(c,y)
|C| and Y. are both in the same column	samecol(c,y)
|C| and y are in the same column	samecol(c,y)
Both |c| and y are in the same column	samecol(c,y)
|C| and y both are in the same column	samecol(c,y)
Both |c| and Y. are in the same column	samecol(c,y)
|C| and y are both in the same column	samecol(c,y)
Both |c| and y are in the same column	samecol(c,y)
|C| is in the same column as y	samecol(c,y)
|F| is a tetrahedron	tet(f)
|A| is larger than |f|	larger(a,f)
Both |e| and X. are the same shape	sameshape(e,x)
|E| is the same shape as x	sameshape(e,x)
Both |e| and X. are the same shape	sameshape(e,x)
|E| and X. are both the same shape	sameshape(e,x)
|E| and x both are the same shape	sameshape(e,x)
|E| and x are both the same shape	sameshape(e,x)
|E| and X. are the same shape	sameshape(e,x)
|E| and x are the same shape	sameshape(e,x)
Both |e| and x are the same shape	sameshape(e,x)
|E| and X. both are the same shape	sameshape(e,x)
Both |e| and x are the same shape	sameshape(e,x)
X. adjoins |b|	adjoins(x,b)
X adjoins |b|	adjoins(x,b)
|C| is smaller than y	smaller(c,y)
|A| and Y. both are the same size	samesize(a,y)
|A| and Y. are the same size	samesize(a,y)
|A| is the same size as y	samesize(a,y)
|A| and y both are the same size	samesize(a,y)
Both |a| and Y. are the same size	samesize(a,y)
|A| and y are both the same size	samesize(a,y)
Both |a| and Y. are the same size	samesize(a,y)
Both |a| and y are the same size	samesize(a,y)
|A| and Y. are both the same size	samesize(a,y)
Both |a| and y are the same size	samesize(a,y)
|A| and y are the same size	samesize(a,y)
Both |c| and |d| are in the same column	samecol(c,d)
Both |c| and |d| are in the same column	samecol(c,d)
|C| and |d| are both in the same column	samecol(c,d)
|C| is in the same column as |d|	samecol(c,d)
|C| and |d| both are in the same column	samecol(c,d)
|C| and |d| are in the same column	samecol(c,d)
|E| is larger than |b|	larger(e,b)
|B| is to the right of |b|	rightof(b,b)
|C| is to the left of |f|	leftof(c,f)
|D| is larger than y	larger(d,y)
|B| is in front of |f|	frontof(b,f)
|A| is in back of |a|	backof(a,a)
|A| is to the right of |a|	rightof(a,a)
|C| adjoins |c|	adjoins(c,c)
|E| and |d| are both in the same row	samerow(e,d)
Both |e| and |d| are in the same row	samerow(e,d)
Both |e| and |d| are in the same row	samerow(e,d)
|E| is in the same row as |d|	samerow(e,d)
|E| and |d| both are in the same row	samerow(e,d)
|E| and |d| are in the same row	samerow(e,d)
|D| and |b| are in the same column	samecol(d,b)
Both |d| and |b| are in the same column	samecol(d,b)
|D| is in the same column as |b|	samecol(d,b)
|D| and |b| are both in the same column	samecol(d,b)
|D| and |b| both are in the same column	samecol(d,b)
Both |d| and |b| are in the same column	samecol(d,b)
|A| is the same shape as |a|	sameshape(a,a)
|A| and |a| both are the same shape	sameshape(a,a)
|A| and |a| are the same shape	sameshape(a,a)
Both |a| and |a| are the same shape	sameshape(a,a)
|A| and |a| are both the same shape	sameshape(a,a)
Both |a| and |a| are the same shape	sameshape(a,a)
|D| is large	large(d)
Both Y. and |e| are the same size	samesize(y,e)
Both y and |e| are the same size	samesize(y,e)
Y. and |e| are both the same size	samesize(y,e)
Y and |e| are the same size	samesize(y,e)
Both y and |e| are the same size	samesize(y,e)
Y. and |e| are the same size	samesize(y,e)
Y and |e| both are the same size	samesize(y,e)
Y. and |e| both are the same size	samesize(y,e)
Y is the same size as |e|	samesize(y,e)
Both Y. and |e| are the same size	samesize(y,e)
Y and |e| are both the same size	samesize(y,e)
Y. is the same size as |e|	samesize(y,e)
Z. is larger than x	larger(z,x)
Z	larger(z,x)
Z is larger than x	larger(z,x)
Z is the same shape as |e|	sameshape(z,e)
Z. is the same shape as |e|	sameshape(z,e)
Z and |e| both are the same shape	sameshape(z,e)
Both Z. and |e| are the same shape	sameshape(z,e)
Z. and |e| are the same shape	sameshape(z,e)
Z and |e| are the same shape	sameshape(z,e)
Both z and |e| are the same shape	sameshape(z,e)
Both Z. and |e| are the same shape	sameshape(z,e)
Z. and |e| both are the same shape	sameshape(z,e)
Both z and |e| are the same shape	sameshape(z,e)
Z. and |e| are both the same shape	sameshape(z,e)
Z and |e| are both the same shape	sameshape(z,e)
Both Z. and |e| are in the same row	samerow(z,e)
Z and |e| are both in the same row	samerow(z,e)
Both z and |e| are in the same row	samerow(z,e)
Both Z. and |e| are in the same row	samerow(z,e)
Z. and |e| are in the same row	samerow(z,e)
Z. and |e| both are in the same row	samerow(z,e)
Z and |e| both are in the same row	samerow(z,e)
Z. and |e| are both in the same row	samerow(z,e)
Z and |e| are in the same row	samerow(z,e)
Both z and |e| are in the same row	samerow(z,e)
Z is in the same row as |e|	samerow(z,e)
Z. is in the same row as |e|	samerow(z,e)
X is in back of |a|	backof(x,a)
X. is in back of |a|	backof(x,a)
|C| is in back of y	backof(c,y)
Both |b| and Y. are the same size	samesize(b,y)
|B| and Y. are the same size	samesize(b,y)
Both |b| and y are the same size	samesize(b,y)
|B| and Y. both are the same size	samesize(b,y)
|B| and y are the same size	samesize(b,y)
|B| and y both are the same size	samesize(b,y)
|B| and Y. are both the same size	samesize(b,y)
Both |b| and y are the same size	samesize(b,y)
|B| is the same size as y	samesize(b,y)
|B| and y are both the same size	samesize(b,y)
Both |b| and Y. are the same size	samesize(b,y)
X. is to the left of |c|	leftof(x,c)
X is to the left of |c|	leftof(x,c)
|A| and z both are in the same column	samecol(a,z)
|A| and z are in the same column	samecol(a,z)
Both |a| and Z. are in the same column	samecol(a,z)
|A| and Z. both are in the same column	samecol(a,z)
Both |a| and z are in the same column	samecol(a,z)
Both |a| and z are in the same column	samecol(a,z)
Both |a| and Z. are in the same column	samecol(a,z)
|A| and z are both in the same column	samecol(a,z)
|A| and Z. are both in the same column	samecol(a,z)
|A| and Z. are in the same column	samecol(a,z)
|A| is larger than |d|	larger(a,d)
Both x and |e| are in the same row	samerow(x,e)
X. and |e| both are in the same row	samerow(x,e)
X is in the same row as |e|	samerow(x,e)
X and |e| are in the same row	samerow(x,e)
X and |e| both are in the same row	samerow(x,e)
Both X. and |e| are in the same row	samerow(x,e)
X. and |e| are in the same row	samerow(x,e)
X and |e| are both in the same row	samerow(x,e)
Both X. and |e| are in the same row	samerow(x,e)
Both x and |e| are in the same row	samerow(x,e)
X. and |e| are both in the same row	samerow(x,e)
X. is in the same row as |e|	samerow(x,e)
|B| is to the left of |c|	leftof(b,c)
|E| adjoins |b|	adjoins(e,b)
|C| is in the same column as |c|	samecol(c,c)
Both |c| and |c| are in the same column	samecol(c,c)
|C| and |c| both are in the same column	samecol(c,c)
|C| and |c| are both in the same column	samecol(c,c)
Both |c| and |c| are in the same column	samecol(c,c)
|C| and |c| are in the same column	samecol(c,c)
|F| is to the left of |b|	leftof(f,b)
|F| and y both are the same shape	sameshape(f,y)
|F| and Y. are the same shape	sameshape(f,y)
|F| and y are the same shape	sameshape(f,y)
Both |f| and y are the same shape	sameshape(f,y)
|F| is the same shape as y	sameshape(f,y)
|F| and Y. both are the same shape	sameshape(f,y)
Both |f| and y are the same shape	sameshape(f,y)
|F| and Y. are both the same shape	sameshape(f,y)
|F| and y are both the same shape	sameshape(f,y)
Both |f| and Y. are the same shape	sameshape(f,y)
Both |f| and Y. are the same shape	sameshape(f,y)
|D| is in front of |d|	frontof(d,d)
Z likes |e|	likes(z,e)
Z. likes |e|	likes(z,e)
X. is in front of |e|	frontof(x,e)
X is in front of |e|	frontof(x,e)
Z is larger than |e|	larger(z,e)
Z. is larger than |e|	larger(z,e)
X. is in back of |f|	backof(x,f)
X is in back of |f|	backof(x,f)
Both |b| and Z. are in the same row	samerow(b,z)
|B| and Z. are in the same row	samerow(b,z)
Both |b| and Z. are in the same row	samerow(b,z)
|B| and Z. both are in the same row	samerow(b,z)
Both |b| and z are in the same row	samerow(b,z)
|B| and z are both in the same row	samerow(b,z)
|B| and z both are in the same row	samerow(b,z)
|B| and Z. are both in the same row	samerow(b,z)
Both |b| and z are in the same row	samerow(b,z)
|B| and z are in the same row	samerow(b,z)
|B| likes |d|	likes(b,d)
Z and |d| both are in the same row	samerow(z,d)
Both Z. and |d| are in the same row	samerow(z,d)
Both z and |d| are in the same row	samerow(z,d)
Both Z. and |d| are in the same row	samerow(z,d)
Both z and |d| are in the same row	samerow(z,d)
Z. is in the same row as |d|	samerow(z,d)
Z is in the same row as |d|	samerow(z,d)
Z. and |d| are both in the same row	samerow(z,d)
Z and |d| are both in the same row	samerow(z,d)
Z. and |d| both are in the same row	samerow(z,d)
Z. and |d| are in the same row	samerow(z,d)
Z and |d| are in the same row	samerow(z,d)
Z adjoins |e|	adjoins(z,e)
Z. adjoins |e|	adjoins(z,e)
|F| and |c| are both the same size	samesize(f,c)
|F| and |c| both are the same size	samesize(f,c)
Both |f| and |c| are the same size	samesize(f,c)
Both |f| and |c| are the same size	samesize(f,c)
|F| and |c| are the same size	samesize(f,c)
|F| is the same size as |c|	samesize(f,c)
X is in back of |e|	backof(x,e)
X. is in back of |e|	backof(x,e)
|D| and |a| are both the same shape	sameshape(d,a)
Both |d| and |a| are the same shape	sameshape(d,a)
Both |d| and |a| are the same shape	sameshape(d,a)
|D| and |a| are the same shape	sameshape(d,a)
|D| is the same shape as |a|	sameshape(d,a)
|D| and |a| both are the same shape	sameshape(d,a)
|D| likes |a|	likes(d,a)
|A| is smaller than |d|	smaller(a,d)
|E| is in front of y	frontof(e,y)
X and |b| are both in the same row	samerow(x,b)
Both x and |b| are in the same row	samerow(x,b)
Both x and |b| are in the same row	samerow(x,b)
X. is in the same row as |b|	samerow(x,b)
Both X. and |b| are in the same row	samerow(x,b)
X. and |b| are both in the same row	samerow(x,b)
X. and |b| both are in the same row	samerow(x,b)
X is in the same row as |b|	samerow(x,b)
Both X. and |b| are in the same row	samerow(x,b)
X and |b| both are in the same row	samerow(x,b)
X. and |b| are in the same row	samerow(x,b)
X and |b| are in the same row	samerow(x,b)
X. and |e| both are the same size	samesize(x,e)
X. and |e| are the same size	samesize(x,e)
Both x and |e| are the same size	samesize(x,e)
X and |e| are the same size	samesize(x,e)
Both x and |e| are the same size	samesize(x,e)
X and |e| both are the same size	samesize(x,e)
X. and |e| are both the same size	samesize(x,e)
X and |e| are both the same size	samesize(x,e)
Both X. and |e| are the same size	samesize(x,e)
Both X. and |e| are the same size	samesize(x,e)
X. is the same size as |e|	samesize(x,e)
X is the same size as |e|	samesize(x,e)
Z is to the right of |b|	rightof(z,b)
Z. is to the right of |b|	rightof(z,b)
Y. adjoins |c|	adjoins(y,c)
Y adjoins |c|	adjoins(y,c)
|F| is in back of |f|	backof(f,f)
Both |c| and |a| are the same shape	sameshape(c,a)
|C| and |a| are the same shape	sameshape(c,a)
|C| and |a| are both the same shape	sameshape(c,a)
|C| is the same shape as |a|	sameshape(c,a)
Both |c| and |a| are the same shape	sameshape(c,a)
|C| and |a| both are the same shape	sameshape(c,a)
|B| and |c| both are in the same row	samerow(b,c)
|B| is in the same row as |c|	samerow(b,c)
|B| and |c| are in the same row	samerow(b,c)
Both |b| and |c| are in the same row	samerow(b,c)
|B| and |c| are both in the same row	samerow(b,c)
Both |b| and |c| are in the same row	samerow(b,c)
|D| and |f| are both the same size	samesize(d,f)
|D| and |f| both are the same size	samesize(d,f)
|D| and |f| are the same size	samesize(d,f)
Both |d| and |f| are the same size	samesize(d,f)
|D| is the same size as |f|	samesize(d,f)
Both |d| and |f| are the same size	samesize(d,f)
Both |a| and |d| are the same size	samesize(a,d)
|A| is the same size as |d|	samesize(a,d)
|A| and |d| are the same size	samesize(a,d)
Both |a| and |d| are the same size	samesize(a,d)
|A| and |d| are both the same size	samesize(a,d)
|A| and |d| both are the same size	samesize(a,d)
|A| is to the left of |c|	leftof(a,c)
|E| and |a| are both the same shape	sameshape(e,a)
|E| and |a| both are the same shape	sameshape(e,a)
Both |e| and |a| are the same shape	sameshape(e,a)
|E| is the same shape as |a|	sameshape(e,a)
|E| and |a| are the same shape	sameshape(e,a)
Both |e| and |a| are the same shape	sameshape(e,a)
Z. is in front of |e|	frontof(z,e)
Z is in front of |e|	frontof(z,e)
|D| is to the left of |e|	leftof(d,e)
|D| is in back of x	backof(d,x)
|F| is larger than |c|	larger(f,c)
|D| is larger than |b|	larger(d,b)
X is in the same row as y	samerow(x,y)
X and Y. are in the same row	samerow(x,y)
Both X. and Y. are in the same row	samerow(x,y)
X	samerow(x,y)
Both X. and y are in the same row	samerow(x,y)
X. and y both are in the same row	samerow(x,y)
X. and y are in the same row	samerow(x,y)
X. and y are both in the same row	samerow(x,y)
X and y both are in the same row	samerow(x,y)
X and Y. are both in the same row	samerow(x,y)
X. and Y. both are in the same row	samerow(x,y)
Both x and Y. are in the same row	samerow(x,y)
X and y are in the same row	samerow(x,y)
X. and Y. are in the same row	samerow(x,y)
Both x and y are in the same row	samerow(x,y)
X. is in the same row as y	samerow(x,y)
X and Y. both are in the same row	samerow(x,y)
Both x and y are in the same row	samerow(x,y)
Both X. and y are in the same row	samerow(x,y)
